"Affected Versions","Created","Fixed Version","Key","Project"
"13,15,17","2010-03-02T17:28:06","16","OPENJPA-1547","OpenJPA"
"15","2010-03-02T13:35:35","16","OPENJPA-1546","OpenJPA"
"15","2010-03-01T16:15:57","16","OPENJPA-1544","OpenJPA"
"15","2010-02-25T22:11:04","16","OPENJPA-1543","OpenJPA"
"14","2010-02-25T21:25:07","15","OPENJPA-1542","OpenJPA"
"14,15","2010-02-24T22:55:52","15","OPENJPA-1536","OpenJPA"
"6,7,13,14","2010-02-24T21:34:26","15","OPENJPA-1535","OpenJPA"
"14","2010-02-24T06:49:59","15","OPENJPA-1533","OpenJPA"
"14","2010-02-19T16:50:12","16","OPENJPA-1524","OpenJPA"
"14","2010-02-17T22:37:46","16","OPENJPA-1518","OpenJPA"
"14","2010-02-16T18:00:17","15","OPENJPA-1515","OpenJPA"
